,symbol,equity,test_year,price,lowT,highT,trades,in_days,t-val,p-val,exp_ret,volatility,years,sharpe,beat_pct
1095,SAFT,SAFETY INSURANCE GROUP INC,2019,99.1925,0.325,0.5875,14,144,2.19786964,0.030027466000000003,38.43265539,0.112055226,0.7890410959999999,4.034443931,12.00903253
1972,CBU,COMMUNITY BANK SYSTEM INC,2019,62.895,0.29375,0.76875,11,62,2.664126482,0.008809479,31.26819213,0.09045313,0.7890410959999999,3.99412276,10.3146191
202,AWR,AMERICAN STATES WATER CO,2019,93.905,0.35625,0.675,13,142,0.65696729,0.512510513,33.6635669,0.101247249,0.7890410959999999,3.868144177,19.60927976
2191,ETN,EATON CORP PLC,2019,81.6925,0.33125,0.6875,12,54,2.298177786,0.023527611,34.18889963,0.10446582,0.7890410959999999,3.812699868,21.15116611
886,PCAR,PACCAR INC,2019,70.5625,0.35625,0.74375,13,87,3.4045443719999997,0.000833635,42.21023788,0.131497909,0.7890410959999999,3.80200829,20.87118573
452,WM,WASTE MANAGEMENT INC,2019,115.785,0.36875,0.775,17,129,1.461405421,0.146410502,25.80820957,0.07746758200000001,0.7890410959999999,3.770392774,11.28552338
2479,FMC,FMC CORP,2019,83.6425,0.225,0.8,11,95,3.2445096280000003,0.001400191,39.42926126,0.125913461,0.791780822,3.6769859,23.46465641
1725,CTRE,CARETRUST REIT INC,2019,23.65,0.325,0.5875,19,134,1.893879413,0.06075258099999999,36.83245036,0.117519714,0.7890410959999999,3.674278448,15.12804694
2425,FFIN,FIRST FINL BANKSHARES INC,2019,34.335,0.29375,0.675,18,115,1.8101966409999999,0.072010739,45.52515468,0.14789443,0.791780822,3.651061629,28.3380065
1971,CBU,COMMUNITY BANK SYSTEM INC,2018,56.95586974,0.21875,0.69375,15,169,2.323547052,0.021406481,46.61897253,0.118924596,0.994520548,3.647338561,32.1572903
211,AWK,AMERICAN WATER WORKS CO INC,2019,121.955,0.25625,0.7125,16,132,0.92541742,0.356388121,28.20921949,0.08889902599999999,0.7890410959999999,3.627853898,18.17959875
148,LNT,ALLIANT ENERGY CORP,2019,52.5125,0.14375,0.63125,6,154,2.294390679,0.02411273,28.99841436,0.09324013800000001,0.7890410959999999,3.566217646,19.80894284
2549,GNTX,GENTEX CORP,2019,27.8925,0.31875,0.6375,17,104,1.599544569,0.11148063300000001,38.47005345,0.12771232400000002,0.791780822,3.530336332,23.62800701
2814,KNSL,KINSALE CAPITAL GROUP INC,2019,106.37,0.4,0.85,9,62,0.5842505029999999,0.560162182,26.69120655,0.08613379800000001,0.791780822,3.507374331,15.97034403
2951,HEI-A,HEICO CORP,2019,92.4875,0.23125,0.81875,9,90,2.197711778,0.029266565,44.51921468,0.150607297,0.791780822,3.500938584,40.2776005
1872,CSCO,CISCO SYSTEMS INC,2018,42.05187297,0.45,0.6125,30,158,3.618049585,0.000384038,59.0107728,0.16096464800000002,0.994520548,3.468830074,44.11785443
2813,KSU,KANSAS CITY SOUTHERN,2019,143.1075,0.29375,0.79375,12,102,1.216230763,0.22546125399999997,44.46163041,0.154997618,0.791780822,3.397082024,24.87102109
1990,CWCO,CONSOLIDATED WATER CO INC,2019,16.195,0.45,0.5,37,117,1.3262420670000001,0.186687195,40.31905931,0.140506306,0.7890410959999999,3.387663444,22.17643502
1201,SPXC,SPX CORP,2019,39.97,0.18125,0.7625,7,138,0.950877689,0.34357781,61.76051381,0.220724417,0.7890410959999999,3.387612233,46.80070623
2879,LDOS,LEIDOS HOLDINGS INC,2019,81.465,0.2125,0.7375,10,141,-1.110711059,0.26891637,37.71691553,0.131586283,0.791780822,3.354114873,29.17776904
1795,GIB,CGI INC,2019,78.0875,0.3,0.65,17,124,0.825283894,0.41065095100000004,22.45000435,0.074830332,0.7890410959999999,3.334511778,14.41259047
1062,ROST,ROSS STORES INC,2019,113.0725,0.15,0.55625,9,171,1.05957617,0.294436307,41.12061543,0.146588945,0.7890410959999999,3.316393949,22.60162068
1094,SAFT,SAFETY INSURANCE GROUP INC,2018,79.6779064,0.3625,0.675,18,134,3.476473518,0.000606392,35.35242305,0.099268015,0.994520548,3.228351282,40.58155083
1622,BRC,BRADY CORP,2018,42.31384699,0.55625,0.81875,25,78,4.021997993,9.09e-05,36.55993165,0.104007583,0.994520548,3.197974865,12.86135659
2044,CW,CURTISS-WRIGHT CORP,2019,128.1825,0.25625,0.7,16,124,1.29556775,0.197141602,33.60773635,0.1224987,0.7890410959999999,3.191310436,16.94666323
1776,CF,CF INDUSTRIES HOLDINGS INC,2018,42.20626801,0.39375,0.675,25,132,4.105432886,5.6899999999999994e-05,66.78931484,0.199790692,0.994520548,3.186199479,65.9999306
506,WST,WEST PHARMACEUTICAL SVSC INC,2019,141.5082315,0.4375,0.7,31,92,1.65389157,0.100255681,40.1609753,0.149944494,0.7890410959999999,3.161066937,25.07651767
1873,CSCO,CISCO SYSTEMS INC,2019,47.02,0.2625,0.75,8,109,2.8805305839999997,0.004468115,35.16190496,0.13264430800000002,0.7890410959999999,3.095709985,18.90057613
1272,TGT,TARGET CORP,2018,64.05368562,0.2375,0.7375,13,173,2.329188484,0.021578861,51.69219035,0.156615781,0.994520548,3.095281673,49.61188581
2531,GWR,GENESEE & WYOMING INC,2019,111.0725,0.33125,0.7625,16,118,0.947190832,0.34506484299999995,42.38466014,0.16199551199999998,0.791780822,3.088406491,24.73806443
1836,CHD,CHURCH & DWIGHT INC,2018,65.1986076,0.4,0.6125,32,142,2.35596281,0.019402294,42.48302271,0.12707716300000002,0.994520548,3.086084705,50.2103994
1273,TGT,TARGET CORP,2019,112.9225,0.23125,0.7,15,107,1.33626426,0.18342301100000002,55.74402434,0.21865337,0.7890410959999999,3.070970674,48.49542553
343,AUDC,AUDIOCODES LTD,2019,18.595,0.21875,0.75,16,82,1.144584034,0.254072081,62.85211826,0.24824399800000002,0.7890410959999999,3.067801481,52.93121652
1237,SNPS,SYNOPSYS INC,2019,138.0875,0.30625,0.775,12,121,0.22603093300000002,0.821473095,37.3534547,0.143061591,0.7890410959999999,3.064436471,23.83382317
850,OKE,ONEOK INC,2019,68.5425,0.28125,0.725,16,127,3.345853395,0.001043272,35.89110955,0.137881049,0.7890410959999999,3.045160793,24.01166037
1469,TPVG,TRIPLEPOINT VENTURE GWTH BDC,2019,16.35,0.15,0.7625,10,109,-0.28136950899999996,0.778754127,28.78162932,0.10982755699999999,0.7890410959999999,3.002590471,21.44661051
1012,PHM,PULTEGROUP INC,2019,38.395,0.2375,0.7,5,157,-0.585602227,0.559931592,35.95660843,0.141720592,0.7890410959999999,2.968517599,24.88839433
627,MDC,MDC HOLDINGS INC,2019,45.4475,0.2875,0.7375,17,114,0.337702601,0.736021222,35.84099129,0.142771853,0.7890410959999999,2.936396616,19.17438527
2062,DHI,D R HORTON INC,2019,53.85,0.2875,0.71875,15,133,-0.390669117,0.696665723,39.07384048,0.157409401,0.7890410959999999,2.923628806,26.78373409
1218,SCL,STEPAN CO,2018,73.20432009999999,0.3875,0.7125,17,167,3.0981303369999997,0.0023258370000000003,51.34459076,0.165164821,0.994520548,2.913906295,38.85906877
2303,ESE,ESCO TECHNOLOGIES INC,2019,82.315,0.33125,0.6,24,105,0.576292469,0.565099711,32.97431612,0.132104956,0.7890410959999999,2.898480652,18.40143933
2407,FCAP,FIRST CAPITAL INC,2019,62.285,0.40625,0.575,31,125,0.696741505,0.487106806,46.71051248,0.19311805899999998,0.791780822,2.873591743,29.13508284
2675,IDA,IDACORP INC,2019,109.215,0.225,0.68125,12,95,0.264101756,0.7919987629999999,20.011497600000002,0.076218026,0.791780822,2.856809332,19.73281189
1743,CSL,CARLISLE COS INC,2019,142.0325,0.2625,0.71875,12,86,0.46736816299999995,0.640864055,29.30696765,0.119196927,0.7890410959999999,2.822431083,19.65013579
715,NDAQ,NASDAQ INC,2019,98.1275,0.41875,0.6875,19,138,0.986578953,0.325808398,29.98512954,0.123483615,0.7890410959999999,2.79405386,16.52502015
1954,CIGI,COLLIERS INTL GROUP INC,2019,74.15,0.30625,0.51875,24,146,1.183117189,0.23947556600000003,41.50454983,0.176263644,0.7890410959999999,2.785671015,19.24010176
2513,GRMN,GARMIN LTD,2019,87.205,0.35625,0.5375,23,128,1.614955675,0.10886610099999999,40.89298631,0.17541691399999998,0.791780822,2.744709739,26.46423787
2279,ENTG,ENTEGRIS INC,2018,27.66507798,0.225,0.725,11,153,3.310397403,0.001111263,61.79979817,0.21830171899999998,0.994520548,2.686203904,59.4226186
700,MSFT,MICROSOFT CORP,2019,140.27,0.2875,0.65,15,127,1.340065715,0.18232611699999998,32.28871361,0.13956892099999998,0.7890410959999999,2.681217255,19.58006548
1430,TTC,TORO CO,2019,73.6525,0.1875,0.76875,7,124,-0.197222383,0.84394558,26.0032345,0.110585851,0.7890410959999999,2.663585609,10.8369058
123,AIN,ALBANY INTL CORP,2019,89.6725,0.4,0.8,10,67,1.019013844,0.310068883,29.95982637,0.130254499,0.7890410959999999,2.646351497,23.40378348
1686,CWT,CALIFORNIA WATER SERVICE GP,2019,55.0875,0.29375,0.725,12,113,1.3296480940000002,0.18542719600000002,26.27980538,0.11280015800000001,0.7890410959999999,2.642372491,19.06486909
2512,GRMN,GARMIN LTD,2018,61.91118910000001,0.2625,0.48125,25,205,4.268337281,5e-05,40.84495949,0.149307851,0.994520548,2.516277635,31.409150399999994
646,MDT,MEDTRONIC PLC,2019,108.5525,0.325,0.7,11,133,0.49671598200000006,0.620297188,23.84507203,0.107901333,0.7890410959999999,2.476365781,17.14878206
2443,FCFS,FIRSTCASH INC,2019,93.0125,0.21875,0.5875,10,174,2.161322888,0.035132973,36.01952657,0.17329893100000002,0.791780822,2.423084169,16.32846801
548,MGIC,MAGIC SOFTWARE ENTERPRISES,2019,9.09,0.30625,0.43125,23,114,1.348570917,0.179298163,33.20145371,0.161039333,0.7890410959999999,2.395578186,19.49047416
714,NDAQ,NASDAQ INC,2018,80.06880615,0.45,0.75625,22,118,1.623575811,0.105843366,27.16404369,0.099555716,0.994520548,2.391998052,18.89937351
2950,HEI-A,HEICO CORP,2018,62.54071998,0.2625,0.81875,12,121,2.540356006,0.011723822,43.9509695,0.172212769,0.994520548,2.362956227,45.29743091
1042,RSG,REPUBLIC SERVICES INC,2019,86.105,0.24375,0.725,12,139,-0.269303072,0.7881987540000001,19.74540188,0.09113417800000001,0.7890410959999999,2.361853144,11.43466211
1080,RPM,RPM INTERNATIONAL INC,2019,68.6775,0.3,0.7625,12,52,1.76736067,0.080161709,20.58590539,0.097063129,0.7890410959999999,2.327328209,17.41733594
1801,CHEF,CHEFS' WAREHOUSE INC,2019,36.475,0.35,0.71875,16,123,1.607529482,0.11006929800000001,36.36650865,0.18690406199999998,0.7890410959999999,2.278682353,17.78055049
1753,CBOE,CBOE GLOBAL MARKETS INC,2019,116.02,0.2375,0.5375,15,170,1.418658837,0.161208869,27.62948278,0.13861514,0.7890410959999999,2.273671687,12.09989424
795,NVS,NOVARTIS AG,2018,74.39804286,0.2,0.6875,14,112,2.350781375,0.019611351000000003,27.17254811,0.10506242199999999,0.994520548,2.2674386,16.32634057
247,ADI,ANALOG DEVICES,2019,110.915,0.33125,0.65,22,104,1.3560112430000002,0.176692921,32.25451703,0.16949184,0.7890410959999999,2.205305024,18.24865368
1794,GIB,CGI INC,2018,60.7112,0.19375,0.71875,11,195,1.9960805830000001,0.048435945999999994,31.03377051,0.126016694,0.994520548,2.198498829,27.91095226
1146,SPNS,SAPIENS INTERNATIONAL CORP,2019,19.885,0.25,0.6375,21,94,-1.141621698,0.255211638,27.36419208,0.14348012599999999,0.7890410959999999,2.173145067,12.35376989
1649,CCMP,CABOT MICROELECTRONICS CORP,2018,93.84485531,0.2375,0.81875,8,119,2.000751727,0.046706914,33.87459119,0.141135872,0.994520548,2.165376366,28.30106868
1395,TMUS,T-MOBILE US INC,2019,80.4625,0.3625,0.71875,18,67,0.8460880709999999,0.39905393,20.75329745,0.10573717,0.7890410959999999,2.156471756,10.7071334
720,NBHC,NATIONAL BANK HLDGS CORP,2019,35.275,0.18125,0.68125,10,138,1.870460443,0.06377775200000001,31.89843759,0.17137074,0.7890410959999999,2.15479255,10.98717688
663,MRK,MERCK & CO,2018,74.63640912,0.55625,0.63125,42,106,0.883955525,0.377731307,27.81179656,0.118697571,0.994520548,2.061123027,22.16700551
975,PGR,PROGRESSIVE CORP-OHIO,2018,57.63375099,0.31875,0.68125,9,168,2.042001925,0.042761434,34.01129312,0.150761324,0.994520548,2.036243933,26.87818623
1331,TTEK,TETRA TECH INC,2019,86.2175,0.275,0.7375,9,125,-0.589572404,0.556444485,26.96968845,0.151034738,0.7890410959999999,2.031342909,21.79158074
2097,DRI,DARDEN RESTAURANTS INC,2018,96.30797509,0.25,0.76875,9,163,2.209467044,0.028517433999999998,35.56549757,0.159890245,0.994520548,2.017724772,40.85537863
